file|coverage|peak|stack|time|substring_size
proteins.001.1-gcis-ef|-|1
proteins.001.1|3|1
proteins.001.1|4|1
proteins.001.1|5|1
proteins.001.1|6|1
proteins.001.1|7|1
proteins.001.1|8|1
proteins.001.1|9|1
proteins.001.1|15|1
proteins.001.1|30|1
proteins.001.1|60|1
proteins.001.1-gcis-ef|-|10
proteins.001.1|3|10
proteins.001.1|4|10
proteins.001.1|5|10
proteins.001.1|6|10
proteins.001.1|7|10
proteins.001.1|8|10
proteins.001.1|9|10
proteins.001.1|15|10
proteins.001.1|30|10
proteins.001.1|60|10
proteins.001.1-gcis-ef|-|100
proteins.001.1|3|100
proteins.001.1|4|100
proteins.001.1|5|100
proteins.001.1|6|100
proteins.001.1|7|100
proteins.001.1|8|100
proteins.001.1|9|100
proteins.001.1|15|100
proteins.001.1|30|100
proteins.001.1|60|100
proteins.001.1-gcis-ef|-|1000
proteins.001.1|3|1000
proteins.001.1|4|1000
proteins.001.1|5|1000
proteins.001.1|6|1000
proteins.001.1|7|1000
proteins.001.1|8|1000
proteins.001.1|9|1000
proteins.001.1|15|1000
proteins.001.1|30|1000
proteins.001.1|60|1000
proteins.001.1-gcis-ef|-|10000
proteins.001.1|3|10000
proteins.001.1|4|10000
proteins.001.1|5|10000
proteins.001.1|6|10000
proteins.001.1|7|10000
proteins.001.1|8|10000
proteins.001.1|9|10000
proteins.001.1|15|10000
proteins.001.1|30|10000
proteins.001.1|60|10000
